adapter	kind	decision	commit	evidence_type	source_lines	rationale
llamaindex	REASONING	excluded	d601b0f36af4f6362375eefeda509d1070340652	excluded_optional_signal	llama-index-core/llama_index/core/base/llms/types.py:1096 A representation of the content streamed from reasoning/thinking processes by LLMs; llama-index-core/llama_index/core/base/llms/types.py:1107 Content of the reasoning/thinking process; llama-index-core/llama_index/core/base/llms/types.py:1111 Number of token used for reasoning/thinking	Provider reasoning/thinking content exists, but it is not a callback kind with repeated reasoning-state hashes, so DSM REASONING is not credited.
autogen	AGENT	included	027ecf0a379bcc1d09956d46d12d44a3ad9cee14	positive	python/packages/autogen-core/src/autogen_core/_telemetry/_genai.py:36 CREATE_AGENT = "create_agent"; python/packages/autogen-core/src/autogen_core/_telemetry/_genai.py:40 INVOKE_AGENT = "invoke_agent"; python/packages/autogen-core/src/autogen_core/_telemetry/_genai.py:104 def trace_create_agent_span; python/packages/autogen-core/src/autogen_core/_telemetry/_genai.py:164 def trace_invoke_agent_span; python/packages/autogen-agentchat/src/autogen_agentchat/agents/_base_chat_agent.py:43 with trace_create_agent_span; python/packages/autogen-agentchat/src/autogen_agentchat/agents/_base_chat_agent.py:119 with trace_invoke_agent_span	OpenTelemetry GenAI agent create/invoke spans support AGENT evidence.
autogen	LLM_CALL	included	027ecf0a379bcc1d09956d46d12d44a3ad9cee14	positive_profile	python/packages/autogen-core/src/autogen_core/_telemetry/_genai.py:35 CHAT = "chat"; python/packages/autogen-agentchat/src/autogen_agentchat/agents/_assistant_agent.py:1109 model_result = await model_client.create; python/packages/autogen-core/src/autogen_core/models/_model_client.py:212 async def create	The benchmark profile counts AutoGen model-client calls as LLM_CALL evidence; the source line is invocation evidence rather than a separate custom LLM span wrapper.
autogen	TOOL_CALL	included	027ecf0a379bcc1d09956d46d12d44a3ad9cee14	positive	python/packages/autogen-core/src/autogen_core/_telemetry/_genai.py:38 EXECUTE_TOOL = "execute_tool"; python/packages/autogen-core/src/autogen_core/_telemetry/_genai.py:49 def trace_tool_span; python/packages/autogen-core/src/autogen_core/_telemetry/_genai.py:78 span_attributes; python/packages/autogen-core/src/autogen_core/_telemetry/_genai.py:81 GEN_AI_TOOL_NAME: tool_name; python/packages/autogen-core/src/autogen_core/tools/_base.py:192 with trace_tool_span	Tool execution spans expose tool names and support TOOL_CALL diagnostics.
autogen	DELEGATION	included	027ecf0a379bcc1d09956d46d12d44a3ad9cee14	positive	python/packages/autogen-agentchat/src/autogen_agentchat/messages.py:421 class HandoffMessage; python/packages/autogen-agentchat/src/autogen_agentchat/messages.py:430 type: Literal["HandoffMessage"]; python/packages/autogen-agentchat/src/autogen_agentchat/agents/_assistant_agent.py:1398 chat_message=HandoffMessage; python/packages/autogen-agentchat/src/autogen_agentchat/teams/_group_chat/_base_group_chat.py:635 await self._runtime.send_message; python/packages/autogen-agentchat/src/autogen_agentchat/teams/_group_chat/_base_group_chat.py:637 recipient=AgentId(type=participant_topic_type, key=self._team_id)	Handoff messages and agent-addressed runtime sends support delegation evidence in the benchmark profile.
autogen	PLANNING;REASONING;GUARD_RAIL;RETRIEVAL;MEMORY	excluded	027ecf0a379bcc1d09956d46d12d44a3ad9cee14	scoped_negative	scoped grep: git grep -n -E 'plan.status|reasoning.step|guardrail.result|retrieval.staleness|memory.owner|memory.corrupt' python/packages/autogen-core/src python/packages/autogen-agentchat/src -> no detector-specific field matches	No detector-specific DSM fields were found for these fault classes in the scoped source survey.
crewai	LLM_CALL	included	d165bcb65f400d63c9ab431280f7633414e6f82c	positive	lib/crewai/src/crewai/events/types/llm_events.py:31 class LLMCallType; lib/crewai/src/crewai/events/types/llm_events.py:35 LLM_CALL = "llm_call"; lib/crewai/src/crewai/events/types/llm_events.py:38 class LLMCallStartedEvent; lib/crewai/src/crewai/events/types/llm_events.py:53 class LLMCallCompletedEvent; lib/crewai/src/crewai/events/listeners/tracing/trace_listener.py:352 @event_bus.on(LLMCallStartedEvent); lib/crewai/src/crewai/events/listeners/tracing/trace_listener.py:356 @event_bus.on(LLMCallCompletedEvent)	LLM events and tracing listener action handlers support LLM_CALL diagnostics.
crewai	TOOL_CALL	included	d165bcb65f400d63c9ab431280f7633414e6f82c	positive	lib/crewai/src/crewai/events/types/tool_usage_events.py:55 class ToolUsageStartedEvent; lib/crewai/src/crewai/events/types/tool_usage_events.py:61 class ToolUsageFinishedEvent; lib/crewai/src/crewai/events/types/tool_usage_events.py:71 class ToolUsageErrorEvent; lib/crewai/src/crewai/events/listeners/tracing/trace_listener.py:364 @event_bus.on(ToolUsageStartedEvent); lib/crewai/src/crewai/events/listeners/tracing/trace_listener.py:368 @event_bus.on(ToolUsageFinishedEvent); lib/crewai/src/crewai/events/listeners/tracing/trace_listener.py:372 @event_bus.on(ToolUsageErrorEvent)	Tool-usage events support TOOL_CALL diagnostics.
crewai	AGENT	excluded_optional_event	d165bcb65f400d63c9ab431280f7633414e6f82c	excluded_optional_signal	lib/crewai/src/crewai/events/types/agent_events.py:17 class AgentExecutionStartedEvent; lib/crewai/src/crewai/events/types/agent_events.py:35 class AgentExecutionCompletedEvent; lib/crewai/src/crewai/events/types/task_events.py:36 class TaskCompletedEvent	Agent/task events are present, but the realized benchmark profile does not credit AGENT for verifier-role diagnostics unless the profile exposes the verifier role/result fields used by the detector.
crewai	GUARD_RAIL	excluded_optional_event	d165bcb65f400d63c9ab431280f7633414e6f82c	excluded_optional_signal	lib/crewai/src/crewai/events/types/llm_guardrail_events.py:24 class LLMGuardrailStartedEvent; lib/crewai/src/crewai/events/types/llm_guardrail_events.py:56 class LLMGuardrailCompletedEvent; lib/crewai/src/crewai/events/listeners/tracing/trace_listener.py:339 @event_bus.on(LLMGuardrailStartedEvent); lib/crewai/src/crewai/events/listeners/tracing/trace_listener.py:343 @event_bus.on(LLMGuardrailCompletedEvent)	Optional CrewAI guardrail events exist, but they are not emitted by the default Crew/task/tool/LLM profile used in the benchmark and are not credited without a bypass-result field aligned to the detector.
crewai	MEMORY;RETRIEVAL	excluded_optional_event	d165bcb65f400d63c9ab431280f7633414e6f82c	excluded_optional_signal	lib/crewai/src/crewai/events/types/memory_events.py:23 class MemoryQueryStartedEvent; lib/crewai/src/crewai/events/types/memory_events.py:32 class MemoryQueryCompletedEvent; lib/crewai/src/crewai/events/types/memory_events.py:89 class MemoryRetrievalCompletedEvent; lib/crewai/src/crewai/events/types/memory_events.py:95 retrieval_time_ms; lib/crewai/src/crewai/events/listeners/tracing/trace_listener.py:376 @event_bus.on(MemoryQueryStartedEvent); lib/crewai/src/crewai/events/listeners/tracing/trace_listener.py:382 @event_bus.on(MemoryQueryCompletedEvent)	Memory/retrieval events exist, but the surveyed source did not expose the detector fields memory.owner_agent, memory.corrupt, or retrieval.staleness_seconds in the default profile.
crewai	REASONING	excluded_optional_event	d165bcb65f400d63c9ab431280f7633414e6f82c	excluded_optional_signal	lib/crewai/src/crewai/events/types/reasoning_events.py:24 class AgentReasoningStartedEvent; lib/crewai/src/crewai/events/types/reasoning_events.py:32 class AgentReasoningCompletedEvent; lib/crewai/src/crewai/events/listeners/tracing/trace_listener.py:459 @event_bus.on(AgentReasoningStartedEvent); lib/crewai/src/crewai/events/listeners/tracing/trace_listener.py:465 @event_bus.on(AgentReasoningCompletedEvent)	Optional reasoning events exist, but the benchmark detector requires repeated reasoning.step_hash-like state evidence, which the default profile does not expose.
crewai	DELEGATION	excluded_optional_event	d165bcb65f400d63c9ab431280f7633414e6f82c	excluded_optional_signal	lib/crewai/src/crewai/events/types/a2a_events.py:58 Event emitted when A2A delegation starts; lib/crewai/src/crewai/events/types/a2a_events.py:93 Event emitted when A2A delegation completes; lib/crewai/src/crewai/events/types/a2a_events.py:632 Event emitted when parallel delegation to multiple A2A agents begins; lib/crewai/src/crewai/events/listeners/tracing/trace_listener.py:568 def on_a2a_delegation_started; lib/crewai/src/crewai/events/listeners/tracing/trace_listener.py:574 def on_a2a_delegation_completed	A2A delegation events are optional and not part of the default benchmark profile; circular-delegation credit requires source/target diagnostic edges in the exercised profile.
anthropic_sdk	LLM_CALL	included_external_or_beta	04b468daf76e4b95a949cecb03e29f4a1374d3b5	positive_limited	src/anthropic/_streaming.py:114 sse.event == "span.model_request_start"; src/anthropic/_streaming.py:115 sse.event == "span.model_request_end"; src/anthropic/types/beta/sessions/beta_managed_agents_span_model_request_start_event.py:11 class BetaManagedAgentsSpanModelRequestStartEvent; src/anthropic/types/beta/sessions/beta_managed_agents_span_model_request_end_event.py:14 class BetaManagedAgentsSpanModelRequestEndEvent	The SDK contains beta managed-agent model-request span event models, but no general OpenTelemetry tracer; the benchmark counts only LLM-call evidence under external instrumentation.
anthropic_sdk	AGENT;TOOL_CALL;PLANNING;REASONING;DELEGATION;GUARD_RAIL;RETRIEVAL;MEMORY	excluded	04b468daf76e4b95a949cecb03e29f4a1374d3b5	scoped_negative	scoped grep: git grep -n -E 'opentelemetry|OpenTelemetry|tracer|telemetry' src/anthropic -> no matches; scoped grep: git grep -n -E 'tool.call|handoff|guardrail|memory.owner|retrieval.staleness|plan.status|reasoning.step' src/anthropic -> no detector-specific field matches	No built-in OpenTelemetry tracer or detector-specific agent/tool/guardrail/memory/retrieval/delegation fields were found in the SDK source used for the benchmark profile.
openai_sdk	AGENT	included	eed9100777d16b36e4a1ce764566bb652e43b26d	positive	src/agents/tracing/span_data.py:28 class AgentSpanData; src/agents/tracing/span_data.py:51 def type returns "agent"; src/agents/tracing/create.py:116 return get_trace_provider().create_span; src/agents/tracing/create.py:117 span_data=AgentSpanData(name=name, handoffs=handoffs, tools=tools, output_type=output_type)	Typed agent spans with handoffs/tools metadata support AGENT evidence.
openai_sdk	LLM_CALL	included	eed9100777d16b36e4a1ce764566bb652e43b26d	positive	src/agents/tracing/span_data.py:169 class GenerationSpanData; src/agents/tracing/span_data.py:197 def type returns "generation"; src/agents/tracing/span_data.py:212 class ResponseSpanData; src/agents/tracing/span_data.py:232 def type returns "response"; src/agents/tracing/create.py:188 def generation_span; src/agents/tracing/create.py:236 def response_span	Model generation/response spans support LLM_CALL diagnostics.
openai_sdk	TOOL_CALL	included	eed9100777d16b36e4a1ce764566bb652e43b26d	positive	src/agents/tracing/span_data.py:135 class FunctionSpanData; src/agents/tracing/span_data.py:155 def type returns "function"; src/agents/tracing/create.py:155 def function_span; src/agents/tracing/create.py:180 return get_trace_provider().create_span; src/agents/tracing/create.py:181 span_data=FunctionSpanData(name=name, input=input, output=output)	Function spans support tool-call diagnostics.
openai_sdk	DELEGATION	included	eed9100777d16b36e4a1ce764566bb652e43b26d	positive	src/agents/tracing/span_data.py:244 class HandoffSpanData; src/agents/tracing/span_data.py:252 def __init__(self, from_agent, to_agent); src/agents/tracing/span_data.py:256 def type returns "handoff"; src/agents/tracing/create.py:262 def handoff_span; src/agents/tracing/create.py:286 span_data=HandoffSpanData(from_agent=from_agent, to_agent=to_agent)	Handoff spans expose source and target agents, satisfying the delegation diagnostic rule.
openai_sdk	GUARD_RAIL	included	eed9100777d16b36e4a1ce764566bb652e43b26d	positive	src/agents/tracing/span_data.py:292 class GuardrailSpanData; src/agents/tracing/span_data.py:300 def __init__(self, name, triggered); src/agents/tracing/span_data.py:304 def type returns "guardrail"; src/agents/tracing/create.py:325 def guardrail_span; src/agents/tracing/create.py:346 span_data=GuardrailSpanData(name=name, triggered=triggered)	Guardrail spans expose a triggered flag, satisfying the guardrail diagnostic rule.
openai_sdk	PLANNING;REASONING;RETRIEVAL;MEMORY	excluded	eed9100777d16b36e4a1ce764566bb652e43b26d	scoped_negative	scoped grep: git grep -n -E 'class (Planning|Reasoning|Retrieval|Memory).*SpanData|plan.status|reasoning.step|retrieval.staleness|memory.owner|memory.corrupt' src/agents/tracing src/agents -> no detector-specific span-data class or field matches	The tracing API lacks the DSM detector-specific planning, reasoning, retrieval-staleness, and memory-corruption/ownership fields.
custom_agent	AGENT;LLM_CALL;TOOL_CALL;PLANNING;REASONING;DELEGATION;GUARD_RAIL;RETRIEVAL;MEMORY	included_by_construction	artifact	benchmark_profile	adapter_harness.py:94 AdapterProfile("custom_agent", supports_full_dsm=True, emits_delegation=True, emits_guardrail=True, emits_agent_role_verifier=True); adapter_harness.py:247 memory.owner_agent; adapter_harness.py:251 plan.status; adapter_harness.py:255 reasoning.step_hash; adapter_harness.py:258 guardrail.result; adapter_harness.py:260 memory.corrupt; adapter_harness.py:262 retrieval.staleness_seconds	The reference adapter is a conformance-complete positive control, not a third-party SDK claim.
